id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,churn,promotion_last_5years,dept,salary,sat_level_cluster,last_eval_cluster,avg_month_hr_cluster,satisfaction_level^1xlast_evaluation^1,satisfaction_level^1xnumber_project^1,satisfaction_level^1xaverage_montly_hours^1,satisfaction_level^1xtime_spend_company^1,last_evaluation^1xnumber_project^1,last_evaluation^1xaverage_montly_hours^1,last_evaluation^1xtime_spend_company^1,number_project^1xaverage_montly_hours^1,number_project^1xtime_spend_company^1,average_montly_hours^1xtime_spend_company^1
0,0.38,0.53,2,157,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.20140000000000002,0.76,59.660000000000004,1.1400000000000001,1.06,83.21000000000001,1.59,314.0,6.0,471.0
1,0.8,0.86,5,262,6,0,1,0,sales,medium,very satisfied,very high performance,high hr,0.6880000000000001,4.0,209.60000000000002,4.800000000000001,4.3,225.32,5.16,1310.0,30.0,1572.0
2,0.11,0.88,7,272,4,0,1,0,sales,medium,very unsatisfied,very high performance,high hr,0.0968,0.77,29.92,0.44,6.16,239.36,3.52,1904.0,28.0,1088.0
3,0.72,0.87,5,223,5,0,1,0,sales,low,satisfied,very high performance,med hr,0.6264,3.5999999999999996,160.56,3.5999999999999996,4.35,194.01,4.35,1115.0,25.0,1115.0
4,0.37,0.52,2,159,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.19240000000000002,0.74,58.83,1.1099999999999999,1.04,82.68,1.56,318.0,6.0,477.0
5,0.41,0.5,2,153,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.205,0.82,62.73,1.23,1.0,76.5,1.5,306.0,6.0,459.0
6,0.1,0.77,6,247,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.07700000000000001,0.6000000000000001,24.700000000000003,0.4,4.62,190.19,3.08,1482.0,24.0,988.0
7,0.92,0.85,5,259,5,0,1,0,sales,low,very satisfied,high performance,high hr,0.782,4.6000000000000005,238.28,4.6000000000000005,4.25,220.15,4.25,1295.0,25.0,1295.0
8,0.89,1.0,5,224,5,0,1,0,sales,low,very satisfied,very high performance,med hr,0.89,4.45,199.36,4.45,5.0,224.0,5.0,1120.0,25.0,1120.0
9,0.42,0.53,2,142,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.2226,0.84,59.64,1.26,1.06,75.26,1.59,284.0,6.0,426.0
10,0.45,0.54,2,135,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.24300000000000002,0.9,60.75,1.35,1.08,72.9,1.62,270.0,6.0,405.0
11,0.11,0.81,6,305,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.08910000000000001,0.66,33.55,0.44,4.86,247.05,3.24,1830.0,24.0,1220.0
12,0.84,0.92,4,234,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.7728,3.36,196.56,4.2,3.68,215.28,4.6000000000000005,936.0,20.0,1170.0
13,0.41,0.55,2,148,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.2255,0.82,60.68,1.23,1.1,81.4,1.6500000000000001,296.0,6.0,444.0
14,0.36,0.56,2,137,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.2016,0.72,49.32,1.08,1.12,76.72000000000001,1.6800000000000002,274.0,6.0,411.0
15,0.38,0.54,2,143,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.20520000000000002,0.76,54.34,1.1400000000000001,1.08,77.22,1.62,286.0,6.0,429.0
16,0.45,0.47,2,160,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.2115,0.9,72.0,1.35,0.94,75.19999999999999,1.41,320.0,6.0,480.0
17,0.78,0.99,4,255,6,0,1,0,sales,low,satisfied,very high performance,high hr,0.7722,3.12,198.9,4.68,3.96,252.45,5.9399999999999995,1020.0,24.0,1530.0
18,0.45,0.51,2,160,3,1,1,1,sales,low,unsatisfied,low performance,low hr,0.2295,0.9,72.0,1.35,1.02,81.6,1.53,320.0,6.0,480.0
19,0.76,0.89,5,262,5,0,1,0,sales,low,satisfied,very high performance,high hr,0.6764,3.8,199.12,3.8,4.45,233.18,4.45,1310.0,25.0,1310.0
20,0.11,0.83,6,282,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.09129999999999999,0.66,31.02,0.44,4.9799999999999995,234.06,3.32,1692.0,24.0,1128.0
